Size,InsertTime(ns),SearchTime(ns),DeleteTime(ns)
1000,148208,5584,11042
2000,316417,11625,23750
3000,496250,13292,35291
4000,672916,23500,51458
5000,873791,21208,64750
6000,1061083,33750,73500
7000,1206167,40916,89333
8000,1392708,39500,109416
9000,1597500,39583,114917
10000,1892083,67084,138584
11000,2307625,71584,151500
12000,3024125,76042,164791
13000,2534750,81666,176250
14000,2544208,74708,205250
15000,2676208,103834,219167
16000,2864625,98292,228916
17000,3386792,78292,213084
18000,3160375,73167,239458
19000,3535833,105791,238708
20000,3523166,102625,263166
21000,4073417,108167,282875
22000,4052542,113500,325792
23000,4105250,103583,301625
24000,4719375,105166,330917
25000,4648584,140625,349959
26000,4665625,134625,444542
27000,5146209,161417,378833
28000,5157250,143625,377875
29000,5947209,148083,406333
30000,5449125,159375,419708
31000,6308208,162083,441584
32000,6032875,155709,467959
33000,6519500,157375,484833
34000,6311417,216417,493500
35000,6779375,177250,494667
36000,6501209,165000,504125
37000,7070083,213625,493625
38000,6886125,207583,541875
39000,7322208,222250,571916
40000,8255083,221292,559916
41000,7471833,207375,600041
42000,8436125,248334,584209
43000,8688833,223333,604417
44000,8802958,209958,593000
45000,9003375,255125,656750
46000,8472500,269875,653459
47000,8782917,236584,657875
48000,9442791,263083,669500
49000,9593916,250542,686834
50000,9968292,301792,748292
51000,9944667,308000,767500
52000,10100125,311375,745542
53000,10788291,310459,794459
54000,10672208,308875,816208
55000,10975250,335416,786875
56000,11067542,314750,830250
57000,11658250,345500,815125
58000,11625625,388791,929042
59000,11707208,344834,861959
60000,12104917,347792,926084
61000,12298125,397416,969958
62000,12126375,432042,874875
63000,12154583,354542,947125
64000,12608125,353500,951667
65000,13227000,377333,973167
66000,12826958,363917,997959
67000,13026833,416042,1017792
68000,13231166,397250,970916
69000,13999541,414167,1056666
70000,14915708,477166,1065583
71000,14562791,438667,1176334
72000,14311125,444333,1063583
73000,14355833,433167,1099416
74000,15044584,472208,1173375
75000,14862917,439625,1063916
76000,14847708,462167,1115125
77000,15832250,537916,1219417
78000,16332084,475542,1150750
79000,16986667,572250,1390292
80000,16097792,508625,1192208
81000,17396417,508291,1251000
82000,15998541,489250,1226917
83000,17559917,511916,1190417
84000,17597875,543583,1309875
85000,16721375,497708,1266583
86000,17830250,489125,1285875
87000,18072583,525333,1294917
88000,18250250,489833,1308792
89000,18478625,525333,1319667
90000,18722833,526459,1289417
91000,20911458,540334,1450334
92000,19566250,524208,1387708
93000,19855333,602500,1325250
94000,20564916,567375,1478541
95000,21826166,548333,1495875
96000,20128958,728542,1412042
97000,19292000,592291,1373250
98000,21195166,666875,1596959
99000,21515250,643459,1580959
100000,21456458,978750,1703792
